[OBJECTS]
# type	x	y	ani_set_id	extra_settings per object type
# type: 0 = Simon , 1 = Ground 
# Simon
#0	160	400	-1	7	0	0	1	0
# Brick
1	32	80	1
1	32	112	1
1	32	144	1
1	32	176	1
1	32	208	1
1	32	240	1
1	32	272	1
1	32	304	1
1	32	336	1
1	32	368	1
1	32	400	1
1	64	400	1
1	96	400	1
1	160	400	1
1	256	272	1
1	288	272	1
1	320	400	1
1	352	400	1
1	384	400	1
1	416	400	1
1	448	272	1
1	448	400	1
1	480	272	1
1	480	400	1
1	512	400	1
1	544	400	1
1	576	400	1
1	608	400	1
1	704	400	1
1	736	400	1
1	832	336	1
1	864	336	1
1	896	400	1
1	928	400	1
1	960	304	1
1	960	432	1
1	992	304	1
1	992	432	1
1	1024	432	1
1	1056	432	1
1	1088	272	1
1	1120	272	1
1	1216	400	1
1	1248	400	1
1	1280	400	1
1	1312	400	1
1	1344	368	1
1	1376	368	1
1	1408	304	1
1	1440	304	1
1	1472	208	1
1	1472	336	1
1	1504	208	1
1	1504	336	1
1	128	400	1
#stair
4	112	336	1	1	1	-1
4	237	208	1	-1	1	1
4	112	400	1	1	-1	1

# --- SCENE PORTAL ----
# type	x	y	ani_set_id	r	b	scene_id	x	     y
50	192	464	0	32	1	4	158	80
[TILEMAP]
#tile id	file_texture	file_path		tile_width		tile_height		num_col		num_row
6000	TileMap\\tilesets_scene3.png	TileMap\\tilemap_scene3.2.txt	5	12	12	48	32	32
